epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,300.59,0.24014,0.97758,1,0.06584,0.000554165,0.000554165,0.000554165
2,579.696,0.12362,0.97418,1,0.06094,0.00107321,0.00107321,0.00107321
3,861.86,0.15162,0.96807,1,0.08466,0.00155558,0.00155558,0.00155558
4,1146.37,0.14853,0.97215,1,0.07176,0.00150197,0.00150197,0.00150197
5,1426.32,0.10824,0.97758,1,0.06722,0.00144696,0.00144696,0.00144696
6,1696.56,0.10199,0.98234,1,0.04233,0.00139195,0.00139195,0.00139195
7,1962.84,0.0825,0.97894,1,0.05834,0.00133693,0.00133693,0.00133693
8,2226.5,0.08582,0.9837,1,0.05132,0.00128192,0.00128192,0.00128192
9,2489.77,0.07321,0.96196,1,0.097,0.00122691,0.00122691,0.00122691
10,2758.53,0.06908,0.97554,1,0.0723,0.0011719,0.0011719,0.0011719
11,3024.84,0.06783,0.98438,1,0.05196,0.00111689,0.00111689,0.00111689
12,3290.13,0.05516,0.98166,1,0.0536,0.00106188,0.00106188,0.00106188
13,3598.17,0.05907,0.9837,1,0.06289,0.00100687,0.00100687,0.00100687
14,3866.46,0.05889,0.9803,1,0.05822,0.000951857,0.000951857,0.000951857
15,4143.43,0.05829,0.98709,1,0.04881,0.000896846,0.000896846,0.000896846
16,13347.2,0.05654,0.98573,1,0.05469,0.000841835,0.000841835,0.000841835
17,13736.2,0.05144,0.98234,1,0.07242,0.000786824,0.000786824,0.000786824
18,14792.7,0.0428,0.98098,1,0.05237,0.000731813,0.000731813,0.000731813
19,15182.8,0.04111,0.9837,1,0.04571,0.000676802,0.000676802,0.000676802
20,15559.4,0.03651,0.98641,1,0.05286,0.000621791,0.000621791,0.000621791
21,15933.4,0.03198,0.97894,1,0.0562,0.00056678,0.00056678,0.00056678
22,16324.3,0.0341,0.98913,1,0.05,0.000511769,0.000511769,0.000511769
23,16670.4,0.03194,0.98641,1,0.04779,0.000456758,0.000456758,0.000456758
24,16948,0.03091,0.98641,1,0.04884,0.000401747,0.000401747,0.000401747
25,17211.8,0.02534,0.98641,1,0.04775,0.000346736,0.000346736,0.000346736
26,17473.4,0.02951,0.98438,1,0.06015,0.000291725,0.000291725,0.000291725
27,17733.3,0.02728,0.98641,1,0.05052,0.000236714,0.000236714,0.000236714
28,17991.9,0.02511,0.98641,1,0.04949,0.000181703,0.000181703,0.000181703
29,18264.6,0.02878,0.98709,1,0.04383,0.000126692,0.000126692,0.000126692
30,18527.3,0.02008,0.98913,1,0.0422,7.1681e-05,7.1681e-05,7.1681e-05
