epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,390.356,1.92941,0.81627,0.98494,0.63695,0.000332,0.000332,0.067132
2,766.03,0.81363,0.83032,0.99197,0.48824,0.000649214,0.000649214,0.0341159
3,1134.46,0.65866,0.88956,0.99398,0.33539,0.000904256,0.000904256,0.00103759
4,1521.82,0.54554,0.88253,0.99398,0.34843,0.000795954,0.000795954,0.000795954
5,1889.37,0.46936,0.90562,0.99398,0.29849,0.000657963,0.000657963,0.000657963
6,2270.03,0.36414,0.92972,0.99799,0.22182,0.000505,0.000505,0.000505
7,2652.51,0.28923,0.93474,0.99398,0.23046,0.000352037,0.000352037,0.000352037
8,3018.31,0.2372,0.92671,0.99598,0.21574,0.000214046,0.000214046,0.000214046
9,3392.41,0.21376,0.93574,0.99598,0.19831,0.000104537,0.000104537,0.000104537
10,3761.8,0.17713,0.94076,0.99498,0.19314,3.4227e-05,3.4227e-05,3.4227e-05
