epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1764.43,2.66034,0.43881,0.79375,1.9017,0.000332828,0.000332828,0.06705
2,2997.21,1.94171,0.55623,0.87152,1.53761,0.000650023,0.000650023,0.0340339
3,4085.88,1.62368,0.62371,0.90126,1.30177,0.000905006,0.000905006,0.000955511
4,5114.74,1.38728,0.65803,0.9146,1.20172,0.000795954,0.000795954,0.000795954
5,6131.72,1.18334,0.69806,0.92756,1.04264,0.000657963,0.000657963,0.000657963
6,7139.27,1.01281,0.72512,0.93595,0.96044,0.000505,0.000505,0.000505
7,8169.32,0.84846,0.75791,0.95044,0.84461,0.000352037,0.000352037,0.000352037
8,9185.88,0.73583,0.7682,0.9573,0.79192,0.000214046,0.000214046,0.000214046
9,10186.4,0.65798,0.78536,0.95463,0.76794,0.000104537,0.000104537,0.000104537
10,11196.4,0.60911,0.78498,0.96073,0.755,3.4227e-05,3.4227e-05,3.4227e-05
