epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,149.371,0.44102,0.98333,1,0.05748,0.00032967,0.00032967,0.0673626
2,297.831,0.1216,0.99444,1,0.01427,0.000646941,0.000646941,0.0343466
3,440.38,0.04641,0.99722,1,0.00786,0.000902147,0.000902147,0.00126845
4,583.059,0.06017,0.98889,1,0.02587,0.000795954,0.000795954,0.000795954
5,724.654,0.05823,1,1,0.00513,0.000657963,0.000657963,0.000657963
6,864.966,0.0354,0.99722,1,0.00664,0.000505,0.000505,0.000505
7,1009.83,0.02041,1,1,0.00468,0.000352037,0.000352037,0.000352037
8,1153.91,0.01794,1,1,0.00268,0.000214046,0.000214046,0.000214046
9,1294.9,0.01754,1,1,0.00123,0.000104537,0.000104537,0.000104537
10,1435.77,0.01271,1,1,0.00144,3.4227e-05,3.4227e-05,3.4227e-05
