epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,185.723,1.53979,0.80335,0.98745,0.58884,0.000330556,0.000330556,0.067275
2,368.634,0.6908,0.83891,0.99791,0.4787,0.000647805,0.000647805,0.0342589
3,545.163,0.58099,0.88703,1,0.32646,0.000902948,0.000902948,0.00118073
4,718.491,0.45339,0.87448,0.99372,0.39814,0.000795954,0.000795954,0.000795954
5,892.234,0.37169,0.91632,0.99791,0.241,0.000657963,0.000657963,0.000657963
6,1067.56,0.32409,0.91841,1,0.24135,0.000505,0.000505,0.000505
7,1245.26,0.25375,0.91213,0.99791,0.25567,0.000352037,0.000352037,0.000352037
8,1421.19,0.21328,0.92469,1,0.23497,0.000214046,0.000214046,0.000214046
9,1596.28,0.19643,0.9205,1,0.22387,0.000104537,0.000104537,0.000104537
10,1768.3,0.18147,0.92469,1,0.20504,3.4227e-05,3.4227e-05,3.4227e-05
