epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,275.066,3.35024,0.521,0.88144,2.47204,8.11135e-05,8.11135e-05,8.11135e-05
2,537.491,1.92673,0.77981,0.97967,0.88058,0.000157086,0.000157086,0.000157086
3,830.262,1.06979,0.83266,0.98306,0.57206,0.000227691,0.000227691,0.000227691
4,1093.37,0.80307,0.86111,0.98916,0.47044,0.000219844,0.000219844,0.000219844
5,1397.65,0.68362,0.8706,0.98848,0.43988,0.000211792,0.000211792,0.000211792
6,1675.53,0.59459,0.87398,0.99051,0.38169,0.00020374,0.00020374,0.00020374
7,1940.45,0.53186,0.88753,0.99051,0.36434,0.000195688,0.000195688,0.000195688
8,2211.65,0.49538,0.89024,0.99051,0.34807,0.000187636,0.000187636,0.000187636
9,2474.87,0.46972,0.89499,0.99187,0.35126,0.000179584,0.000179584,0.000179584
10,2736.33,0.4463,0.89634,0.99051,0.34948,0.000171532,0.000171532,0.000171532
11,2996,0.41025,0.89905,0.99051,0.32201,0.00016348,0.00016348,0.00016348
12,3257.93,0.40805,0.90244,0.99119,0.3223,0.000155428,0.000155428,0.000155428
13,3516.35,0.36886,0.90379,0.99051,0.33245,0.000147376,0.000147376,0.000147376
14,3776.61,0.38541,0.90041,0.99051,0.33375,0.000139324,0.000139324,0.000139324
15,4034.58,0.34724,0.90583,0.98984,0.30163,0.000131272,0.000131272,0.000131272
16,4292.79,0.34418,0.90108,0.98916,0.30959,0.00012322,0.00012322,0.00012322
17,4555.87,0.32033,0.91192,0.98916,0.30065,0.000115168,0.000115168,0.000115168
18,4818.79,0.31358,0.90379,0.99051,0.30612,0.000107116,0.000107116,0.000107116
19,5078.93,0.32127,0.91125,0.99051,0.29631,9.9064e-05,9.9064e-05,9.9064e-05
20,5335.36,0.30322,0.90515,0.99051,0.34169,9.1012e-05,9.1012e-05,9.1012e-05
21,5591.99,0.30329,0.90786,0.99119,0.30191,8.296e-05,8.296e-05,8.296e-05
22,5849.3,0.29709,0.90786,0.99051,0.29309,7.4908e-05,7.4908e-05,7.4908e-05
23,6106.08,0.2802,0.90718,0.98984,0.29659,6.6856e-05,6.6856e-05,6.6856e-05
24,6361.15,0.28938,0.90718,0.99187,0.29435,5.8804e-05,5.8804e-05,5.8804e-05
25,6628.24,0.26826,0.90379,0.99119,0.29835,5.0752e-05,5.0752e-05,5.0752e-05
26,6887.02,0.27381,0.90447,0.99051,0.31768,4.27e-05,4.27e-05,4.27e-05
27,7144.05,0.26045,0.90583,0.98984,0.29417,3.4648e-05,3.4648e-05,3.4648e-05
28,7401.84,0.25286,0.90447,0.98984,0.2952,2.6596e-05,2.6596e-05,2.6596e-05
29,7661.71,0.2578,0.90379,0.98984,0.29468,1.8544e-05,1.8544e-05,1.8544e-05
30,7918.37,0.2584,0.91057,0.99051,0.30416,1.0492e-05,1.0492e-05,1.0492e-05
