epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4551.97,0.29264,0.95316,1,0.12517,0.000416292,0.000416292,0.000416292
2,8981.29,0.09167,0.97109,1,0.07962,0.000805471,0.000805471,0.000805471
3,13182.9,0.09849,0.95249,1,0.26006,0.00116715,0.00116715,0.00116715
4,17373.7,0.09199,0.94711,1,0.21323,0.00112625,0.00112625,0.00112625
5,21567.6,0.0742,0.97266,1,0.10338,0.001085,0.001085,0.001085
6,25741.1,0.0724,0.95719,1,0.21083,0.00104375,0.00104375,0.00104375
7,29937.7,0.05888,0.96145,1,0.1474,0.0010025,0.0010025,0.0010025
8,34173.8,0.0525,0.96302,1,0.15257,0.00096125,0.00096125,0.00096125
9,38380.5,0.04536,0.96123,1,0.14614,0.00092,0.00092,0.00092
10,42573.8,0.04353,0.95876,1,0.3078,0.00087875,0.00087875,0.00087875
11,46767.8,0.04159,0.96257,1,0.17311,0.0008375,0.0008375,0.0008375
12,50952.9,0.04257,0.96212,1,0.1233,0.00079625,0.00079625,0.00079625
13,55152.8,0.04114,0.96325,1,0.14138,0.000755,0.000755,0.000755
14,59342.3,0.03188,0.96907,1,0.11765,0.00071375,0.00071375,0.00071375
15,63537.2,0.03523,0.96078,1,0.16193,0.0006725,0.0006725,0.0006725
16,67788.4,0.03025,0.95563,1,0.20341,0.00063125,0.00063125,0.00063125
17,72089.4,0.02763,0.96212,1,0.18133,0.00059,0.00059,0.00059
18,76345.7,0.02703,0.96212,1,0.17358,0.00054875,0.00054875,0.00054875
19,80564.1,0.02546,0.96526,1,0.13707,0.0005075,0.0005075,0.0005075
20,84755.5,0.02312,0.95921,1,0.19629,0.00046625,0.00046625,0.00046625
21,88962.2,0.02163,0.95988,1,0.2351,0.000425,0.000425,0.000425
22,93166.4,0.01866,0.96123,1,0.16731,0.00038375,0.00038375,0.00038375
23,97395,0.02233,0.96056,1,0.16142,0.0003425,0.0003425,0.0003425
24,101600,0.01735,0.96011,1,0.21933,0.00030125,0.00030125,0.00030125
25,105864,0.01482,0.96145,1,0.17072,0.00026,0.00026,0.00026
26,110065,0.01535,0.96257,1,0.17328,0.00021875,0.00021875,0.00021875
27,114275,0.01219,0.96212,1,0.16004,0.0001775,0.0001775,0.0001775
28,118519,0.01471,0.96212,1,0.15993,0.00013625,0.00013625,0.00013625
29,122737,0.01125,0.96235,1,0.16978,9.5e-05,9.5e-05,9.5e-05
30,126929,0.01272,0.96257,1,0.16353,5.375e-05,5.375e-05,5.375e-05
