epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,373.784,1.92862,0.66566,0.96988,1.01792,0.000332,0.000332,0.067132
2,729.396,0.80882,0.84237,0.98795,0.47944,0.000664683,0.000664683,0.0341314
3,1083.52,0.68804,0.86847,0.98494,0.40431,0.000994769,0.000994769,0.0011281
4,1444.31,0.59962,0.88153,0.99297,0.33873,0.000991232,0.000991232,0.000991232
5,1790.91,0.55621,0.8755,0.99297,0.37784,0.000984449,0.000984449,0.000984449
6,2141.24,0.48528,0.88153,0.98996,0.37011,0.000975773,0.000975773,0.000975773
7,2494.68,0.45128,0.88956,0.99197,0.40923,0.000965239,0.000965239,0.000965239
8,2843.14,0.44442,0.88052,0.98996,0.41356,0.000952889,0.000952889,0.000952889
9,3192.57,0.39159,0.9006,0.99799,0.3142,0.000938772,0.000938772,0.000938772
10,3541.8,0.35127,0.89558,0.99197,0.37937,0.000922942,0.000922942,0.000922942
11,3890.92,0.30994,0.91767,0.99398,0.30973,0.000905463,0.000905463,0.000905463
12,4245.22,0.29757,0.91566,0.99498,0.31365,0.000886404,0.000886404,0.000886404
13,4597.4,0.29092,0.92169,0.99598,0.26765,0.000865839,0.000865839,0.000865839
14,4946.69,0.25905,0.92771,0.99096,0.29326,0.000843851,0.000843851,0.000843851
15,5296.09,0.24667,0.90261,0.99398,0.34918,0.000820525,0.000820525,0.000820525
16,5643.83,0.22373,0.91466,0.99498,0.30756,0.000795954,0.000795954,0.000795954
17,5993.53,0.24847,0.91566,0.99699,0.34608,0.000770234,0.000770234,0.000770234
18,6340.55,0.19833,0.90763,0.99699,0.32563,0.000743468,0.000743468,0.000743468
19,6685.11,0.20471,0.91265,0.99699,0.37055,0.000715761,0.000715761,0.000715761
20,7029.16,0.17656,0.91466,0.99699,0.30314,0.000687222,0.000687222,0.000687222
21,7375.2,0.18494,0.91968,0.99498,0.30468,0.000657963,0.000657963,0.000657963
22,7720.63,0.18511,0.92671,0.99598,0.27455,0.000628101,0.000628101,0.000628101
23,8071.39,0.15457,0.92068,0.99598,0.29568,0.000597754,0.000597754,0.000597754
24,8417.56,0.16369,0.91767,0.99398,0.31837,0.00056704,0.00056704,0.00056704
25,8769.3,0.14003,0.91968,0.99498,0.27524,0.000536081,0.000536081,0.000536081
26,9113.64,0.1202,0.92068,0.99498,0.2703,0.000505,0.000505,0.000505
27,9462.45,0.13012,0.91767,0.99598,0.2842,0.000473919,0.000473919,0.000473919
28,9810.74,0.11014,0.92269,0.99498,0.30075,0.00044296,0.00044296,0.00044296
29,10157.8,0.11234,0.91867,0.99498,0.30632,0.000412246,0.000412246,0.000412246
30,10504.2,0.09591,0.9247,0.99598,0.28715,0.000381899,0.000381899,0.000381899
31,10850,0.09085,0.91968,0.99598,0.30429,0.000352037,0.000352037,0.000352037
32,11198.5,0.0933,0.92972,0.99398,0.2649,0.000322778,0.000322778,0.000322778
33,11544.5,0.08567,0.92169,0.99799,0.27457,0.000294239,0.000294239,0.000294239
34,11888.6,0.09013,0.93072,0.99799,0.26389,0.000266532,0.000266532,0.000266532
35,12239.9,0.07842,0.92369,0.99598,0.25785,0.000239766,0.000239766,0.000239766
36,12586.6,0.08556,0.9247,0.99598,0.27544,0.000214046,0.000214046,0.000214046
37,12937.2,0.07196,0.92671,0.99699,0.27537,0.000189475,0.000189475,0.000189475
38,13284.1,0.07724,0.92871,0.99699,0.3238,0.000166149,0.000166149,0.000166149
39,13637.2,0.0706,0.93072,0.99598,0.25274,0.000144161,0.000144161,0.000144161
40,13983.8,0.06362,0.93373,0.99598,0.25423,0.000123596,0.000123596,0.000123596
41,14334.8,0.07184,0.92671,0.99699,0.26878,0.000104537,0.000104537,0.000104537
42,14687.5,0.06652,0.9257,0.99699,0.26408,8.70577e-05,8.70577e-05,8.70577e-05
43,15034.2,0.06447,0.93273,0.99799,0.2565,7.12282e-05,7.12282e-05,7.12282e-05
44,15380.1,0.0553,0.92871,0.99699,0.25873,5.71106e-05,5.71106e-05,5.71106e-05
45,15733,0.07281,0.92871,0.99799,0.26138,4.47606e-05,4.47606e-05,4.47606e-05
46,16081.6,0.05611,0.93173,0.99699,0.26685,3.4227e-05,3.4227e-05,3.4227e-05
47,16428.6,0.0631,0.93072,0.99598,0.25474,2.55513e-05,2.55513e-05,2.55513e-05
48,16777.9,0.06405,0.93373,0.99699,0.25239,1.87678e-05,1.87678e-05,1.87678e-05
49,17122.2,0.0554,0.93273,0.999,0.24989,1.39032e-05,1.39032e-05,1.39032e-05
50,17468.5,0.05255,0.93574,0.99799,0.2504,1.09768e-05,1.09768e-05,1.09768e-05
