epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1063.34,2.67254,0.42737,0.75905,2.02052,0.000332828,0.000332828,0.06705
2,2055,1.94795,0.51811,0.85627,1.59613,0.000665511,0.000665511,0.0340493
3,3014.75,1.64788,0.60427,0.89058,1.34694,0.000995594,0.000995594,0.0010461
4,3961.16,1.48526,0.63363,0.89668,1.2552,0.000991232,0.000991232,0.000991232
5,4930.3,1.33745,0.65726,0.91422,1.2034,0.000984449,0.000984449,0.000984449
6,5885.47,1.22733,0.67556,0.91956,1.11476,0.000975773,0.000975773,0.000975773
7,6828.35,1.12874,0.70454,0.93366,1.02102,0.000965239,0.000965239,0.000965239
8,7789.01,1.02774,0.70225,0.93633,1.04234,0.000952889,0.000952889,0.000952889
9,8764.58,0.95389,0.74304,0.94167,0.93976,0.000938772,0.000938772,0.000938772
10,9722.33,0.9053,0.75334,0.94586,0.92519,0.000922942,0.000922942,0.000922942
11,11082.1,0.84412,0.76096,0.94739,0.87273,0.000905463,0.000905463,0.000905463
12,12416.6,0.78541,0.77278,0.9451,0.86844,0.000886404,0.000886404,0.000886404
13,13741.4,0.72047,0.77583,0.94472,0.87341,0.000865839,0.000865839,0.000865839
14,15028.4,0.68955,0.78727,0.94929,0.8328,0.000843851,0.000843851,0.000843851
15,16311.6,0.65369,0.79565,0.94701,0.83806,0.000820525,0.000820525,0.000820525
16,17567,0.58765,0.80328,0.95234,0.8179,0.000795954,0.000795954,0.000795954
17,18907.6,0.56854,0.80595,0.9573,0.82781,0.000770234,0.000770234,0.000770234
18,20205.9,0.52058,0.80823,0.95463,0.84406,0.000743468,0.000743468,0.000743468
19,21363.6,0.48704,0.81853,0.95501,0.79074,0.000715761,0.000715761,0.000715761
20,22351.2,0.45019,0.8151,0.95196,0.85045,0.000687222,0.000687222,0.000687222
21,23333.8,0.44331,0.82463,0.95578,0.79416,0.000657963,0.000657963,0.000657963
22,24328.3,0.40865,0.83225,0.95806,0.80739,0.000628101,0.000628101,0.000628101
23,25330.9,0.3919,0.83416,0.95387,0.81428,0.000597754,0.000597754,0.000597754
24,26318.5,0.35338,0.83302,0.95616,0.79811,0.00056704,0.00056704,0.00056704
25,27317,0.34795,0.84369,0.95692,0.76808,0.000536081,0.000536081,0.000536081
26,28314.3,0.32376,0.83988,0.95921,0.82001,0.000505,0.000505,0.000505
27,29393.5,0.30531,0.84445,0.95997,0.79009,0.000473919,0.000473919,0.000473919
28,30493.5,0.29096,0.85208,0.95997,0.79023,0.00044296,0.00044296,0.00044296
29,31502,0.26617,0.84827,0.95883,0.79034,0.000412246,0.000412246,0.000412246
30,32522.4,0.2557,0.85513,0.95578,0.7767,0.000381899,0.000381899,0.000381899
31,33518.2,0.23235,0.85894,0.95997,0.76902,0.000352037,0.000352037,0.000352037
32,34522,0.23906,0.85322,0.96188,0.77639,0.000322778,0.000322778,0.000322778
33,35518,0.22206,0.84865,0.96035,0.80201,0.000294239,0.000294239,0.000294239
34,36516.3,0.2018,0.85475,0.95883,0.79661,0.000266532,0.000266532,0.000266532
35,37510.1,0.19541,0.85589,0.95616,0.80068,0.000239766,0.000239766,0.000239766
36,38518.3,0.19432,0.8536,0.95921,0.82358,0.000214046,0.000214046,0.000214046
37,39525.9,0.19239,0.86199,0.95997,0.80738,0.000189475,0.000189475,0.000189475
38,40524.9,0.16779,0.85856,0.96035,0.80345,0.000166149,0.000166149,0.000166149
39,41519.2,0.16285,0.86085,0.9573,0.7977,0.000144161,0.000144161,0.000144161
40,42518.8,0.15994,0.86428,0.95959,0.78859,0.000123596,0.000123596,0.000123596
41,43514.3,0.16452,0.86199,0.95921,0.80763,0.000104537,0.000104537,0.000104537
42,44511.6,0.14274,0.86123,0.95806,0.81089,8.70577e-05,8.70577e-05,8.70577e-05
43,45508.3,0.15308,0.86275,0.95692,0.81484,7.12282e-05,7.12282e-05,7.12282e-05
44,46504.5,0.13528,0.8639,0.95921,0.80142,5.71106e-05,5.71106e-05,5.71106e-05
45,47508.9,0.14894,0.86123,0.95959,0.80542,4.47606e-05,4.47606e-05,4.47606e-05
46,48520.8,0.14379,0.86352,0.95883,0.80632,3.4227e-05,3.4227e-05,3.4227e-05
47,49524.6,0.13973,0.86199,0.95997,0.80887,2.55513e-05,2.55513e-05,2.55513e-05
48,50525.7,0.13302,0.86085,0.95921,0.80689,1.87678e-05,1.87678e-05,1.87678e-05
49,51523.2,0.13865,0.86085,0.95959,0.80608,1.39032e-05,1.39032e-05,1.39032e-05
50,52541.4,0.13941,0.85894,0.95997,0.8037,1.09768e-05,1.09768e-05,1.09768e-05
