epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,152.338,0.45835,0.99167,1,0.04451,0.00032967,0.00032967,0.0673626
2,297.048,0.10779,0.99722,1,0.00995,0.000662356,0.000662356,0.034362
3,440.253,0.06605,0.99722,1,0.00938,0.000992448,0.000992448,0.00135875
4,585.857,0.04387,1,1,0.00322,0.000991232,0.000991232,0.000991232
5,728.614,0.05,1,1,0.0106,0.000984449,0.000984449,0.000984449
6,872.192,0.05557,0.99722,1,0.00926,0.000975773,0.000975773,0.000975773
7,1015.16,0.06356,0.98333,1,0.02401,0.000965239,0.000965239,0.000965239
8,1164.97,0.05406,1,1,0.00193,0.000952889,0.000952889,0.000952889
9,1308.25,0.04851,0.99722,1,0.01436,0.000938772,0.000938772,0.000938772
10,1450.48,0.03548,0.99722,1,0.00649,0.000922942,0.000922942,0.000922942
11,1594.17,0.03333,0.99444,1,0.00722,0.000905463,0.000905463,0.000905463
12,1736.54,0.03567,1,1,0.00105,0.000886404,0.000886404,0.000886404
13,1881.65,0.03289,1,1,0.0075,0.000865839,0.000865839,0.000865839
14,2024.94,0.02009,0.99722,1,0.00616,0.000843851,0.000843851,0.000843851
