epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,175.007,1.55506,0.68201,0.96862,0.90678,0.000330556,0.000330556,0.067275
2,342.462,0.67572,0.84519,1,0.42586,0.00066324,0.00066324,0.0342744
3,511.479,0.59017,0.87238,0.99791,0.37164,0.00099333,0.00099333,0.00127111
4,676.134,0.50028,0.88912,0.99582,0.32926,0.000991232,0.000991232,0.000991232
5,846.076,0.45068,0.87657,0.99163,0.36509,0.000984449,0.000984449,0.000984449
6,1025.11,0.39841,0.86611,0.99163,0.45161,0.000975773,0.000975773,0.000975773
7,1192.8,0.34383,0.89331,0.99372,0.32475,0.000965239,0.000965239,0.000965239
8,1359.56,0.34309,0.87866,0.99791,0.39151,0.000952889,0.000952889,0.000952889
9,1527.67,0.33723,0.87657,0.99582,0.39465,0.000938772,0.000938772,0.000938772
10,1695.36,0.25628,0.88703,0.99582,0.35153,0.000922942,0.000922942,0.000922942
11,1864.23,0.25381,0.89331,0.99582,0.33536,0.000905463,0.000905463,0.000905463
12,2029.75,0.26715,0.88703,0.99582,0.36559,0.000886404,0.000886404,0.000886404
13,2198.1,0.24599,0.90377,0.99791,0.31069,0.000865839,0.000865839,0.000865839
14,2362.78,0.18454,0.8954,0.99372,0.38411,0.000843851,0.000843851,0.000843851
15,2531.18,0.1935,0.90586,0.99163,0.32943,0.000820525,0.000820525,0.000820525
16,2699.39,0.15626,0.91423,0.99372,0.29225,0.000795954,0.000795954,0.000795954
17,2865.38,0.1542,0.91841,0.99791,0.2781,0.000770234,0.000770234,0.000770234
18,3030.69,0.13962,0.90795,0.99791,0.28625,0.000743468,0.000743468,0.000743468
19,3197.28,0.14513,0.9205,1,0.29991,0.000715761,0.000715761,0.000715761
20,3361.62,0.13144,0.89958,0.99582,0.33478,0.000687222,0.000687222,0.000687222
21,3540.14,0.13271,0.9205,0.99372,0.30219,0.000657963,0.000657963,0.000657963
22,3707.82,0.12804,0.91213,0.99163,0.32349,0.000628101,0.000628101,0.000628101
23,3878.1,0.11157,0.90586,0.99582,0.35621,0.000597754,0.000597754,0.000597754
24,4043.43,0.10819,0.91632,1,0.30123,0.00056704,0.00056704,0.00056704
25,4209.79,0.11965,0.92259,0.99791,0.29581,0.000536081,0.000536081,0.000536081
26,4380.53,0.09384,0.92259,1,0.28262,0.000505,0.000505,0.000505
27,4549.29,0.10947,0.92678,0.99791,0.30481,0.000473919,0.000473919,0.000473919
28,4724.09,0.08614,0.93096,0.99582,0.28795,0.00044296,0.00044296,0.00044296
29,4890.18,0.0736,0.93096,0.99582,0.26994,0.000412246,0.000412246,0.000412246
30,5071.63,0.07524,0.93724,0.99791,0.27428,0.000381899,0.000381899,0.000381899
31,5272.5,0.07104,0.93515,0.99791,0.23892,0.000352037,0.000352037,0.000352037
32,5458.29,0.06183,0.92469,0.99791,0.25164,0.000322778,0.000322778,0.000322778
33,5631.54,0.06481,0.93305,0.99791,0.21992,0.000294239,0.000294239,0.000294239
34,5803.5,0.06726,0.93305,0.99582,0.23343,0.000266532,0.000266532,0.000266532
35,5974.32,0.05608,0.91632,0.99791,0.25657,0.000239766,0.000239766,0.000239766
36,6150.53,0.05694,0.92887,0.99582,0.25392,0.000214046,0.000214046,0.000214046
37,6322.92,0.05282,0.93515,0.99791,0.23536,0.000189475,0.000189475,0.000189475
38,6496.87,0.05854,0.92469,0.99791,0.22757,0.000166149,0.000166149,0.000166149
39,6672.43,0.05793,0.93724,0.99791,0.21854,0.000144161,0.000144161,0.000144161
40,6847,0.05425,0.93515,0.99791,0.22064,0.000123596,0.000123596,0.000123596
