epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4547.47,3.96915,0.29052,0.62699,3.03754,4.09634e-05,4.09634e-05,4.09634e-05
2,8769.03,2.5437,0.53419,0.82067,1.75939,7.92586e-05,7.92586e-05,7.92586e-05
3,12963,1.8407,0.59404,0.86998,1.40167,0.000114848,0.000114848,0.000114848
4,17171.5,1.56036,0.63865,0.89262,1.23717,0.000110823,0.000110823,0.000110823
5,21451.4,1.41724,0.66868,0.90764,1.13191,0.000106764,0.000106764,0.000106764
6,25702.3,1.3015,0.69155,0.91302,1.06366,0.000102705,0.000102705,0.000102705
7,29931.7,1.22708,0.7041,0.92603,0.99229,9.8646e-05,9.8646e-05,9.8646e-05
8,34183.7,1.15748,0.71397,0.9323,0.95468,9.4587e-05,9.4587e-05,9.4587e-05
9,38414.7,1.10975,0.72585,0.93499,0.91077,9.0528e-05,9.0528e-05,9.0528e-05
10,42619.4,1.06574,0.73907,0.94037,0.88916,8.6469e-05,8.6469e-05,8.6469e-05
11,46858.9,1.02284,0.7375,0.94306,0.87031,8.241e-05,8.241e-05,8.241e-05
12,51073.3,0.99146,0.74759,0.94508,0.84617,7.8351e-05,7.8351e-05,7.8351e-05
13,55285.5,0.96666,0.75432,0.94373,0.82852,7.4292e-05,7.4292e-05,7.4292e-05
14,59504.3,0.9318,0.75992,0.94687,0.81638,7.0233e-05,7.0233e-05,7.0233e-05
15,63705.8,0.91319,0.76104,0.95113,0.80167,6.6174e-05,6.6174e-05,6.6174e-05
16,67916.5,0.88879,0.76642,0.94867,0.78491,6.2115e-05,6.2115e-05,6.2115e-05
17,72126.1,0.88602,0.77225,0.95158,0.77996,5.8056e-05,5.8056e-05,5.8056e-05
18,76350.1,0.85984,0.77225,0.95225,0.76826,5.3997e-05,5.3997e-05,5.3997e-05
19,80620.7,0.84306,0.77471,0.95427,0.75591,4.9938e-05,4.9938e-05,4.9938e-05
20,84829,0.8272,0.77897,0.95405,0.7501,4.5879e-05,4.5879e-05,4.5879e-05
21,89037.9,0.81926,0.77852,0.95517,0.74565,4.182e-05,4.182e-05,4.182e-05
22,93244.9,0.80232,0.78256,0.95449,0.74,3.7761e-05,3.7761e-05,3.7761e-05
23,97450.4,0.80116,0.78234,0.95606,0.74053,3.3702e-05,3.3702e-05,3.3702e-05
24,101653,0.7829,0.78323,0.95427,0.73111,2.9643e-05,2.9643e-05,2.9643e-05
25,105860,0.78853,0.78503,0.95584,0.72504,2.5584e-05,2.5584e-05,2.5584e-05
26,110068,0.77101,0.78525,0.95651,0.72538,2.1525e-05,2.1525e-05,2.1525e-05
27,114280,0.76326,0.78682,0.95741,0.72496,1.7466e-05,1.7466e-05,1.7466e-05
28,118558,0.76508,0.78682,0.95741,0.72143,1.3407e-05,1.3407e-05,1.3407e-05
29,122767,0.74945,0.78884,0.95696,0.72084,9.348e-06,9.348e-06,9.348e-06
30,126970,0.75086,0.78906,0.95831,0.71768,5.289e-06,5.289e-06,5.289e-06
